t_id,timestamp_ms,uid,nuid,is_reply,is_retweet,is_quote,replied_uid,replied_t_id,retweeted_uid,retweeted_t_id,quoted_uid,quoted_t_id
946868050363498496,1514585909821,768346452967854080,5652,0,0,0,,,,,,
946868086778372096,1514585918503,488285969,4397,0,1,0,,,237612784,946867828618969088,,
946868121293414400,1514585926732,178662965,1018,0,0,0,,,,,,
946868220694183936,1514585950431,2595865716,2092,0,0,0,,,,,,
946868297550651420,1514585968755,26680014,2189,0,0,0,,,,,,
946868464467156992,1514586008551,768346452967854080,5652,1,0,0,419773780,946834747237511169,,,,
946868542766432256,1514586027219,488285969,4397,0,1,0,,,269188684,946868117468209152,,
946868690716262400,1514586062493,827431800070828034,6043,1,0,0,2711602693,946866434847621121,,,,
946868735540957185,1514586073180,31050180,2870,0,0,0,,,,,,
946869145382952960,1514586170894,827431800070828034,6043,0,1,0,,,16543454,946407907377033217,,
946869274953388032,1514586201786,178662965,1018,0,1,0,,,21814628,946470891982073856,,
946869373444038656,1514586225268,488285969,4397,0,1,0,,,762373104,946868660148215808,,
946869633012744192,1514586287154,488285969,4397,1,0,0,762373104,946868660148215808,,,,
946869904736526336,1514586351938,488285969,4397,0,1,0,,,55113432,946846498502860800,,
946870135033282561,1514586406845,2595865716,2092,0,0,0,,,,,,
946870287961698304,1514586443306,2595865716,2092,0,0,0,,,,,,
946870684507967489,1514586537850,96468014,6515,0,0,0,,,,,,
946870749536559104,1514586553354,77076332,5674,0,0,0,,,,,,
