v,u,t_id_v,t_id_u,interaction_type,t_time_v,t_time_u
1106,232,927654179035791361,927633292978819073,1,1510004965920,7/11/2017 07:26:26
1106,232,927654264318566401,927646213196849152,1,1510004986253,7/11/2017 08:17:46
277,276,927653298680692738,927649543507861504,1,1510004756027,7/11/2017 08:31:00
293,308,927655586769989633,927652816633647105,1,1510005301550,7/11/2017 08:44:01
293,308,927655813421842432,927655772099559426,1,1510005355588,7/11/2017 08:55:45
293,308,927655839011258368,927655569426489351,1,1510005361689,7/11/2017 08:54:57
293,308,927656728136638465,927655695507267584,1,1510005573673,7/11/2017 08:55:27
1123,346,927657452098666497,927333768750235648,1,1510005746279,6/11/2017 11:36:14
617,370,927655142681276416,927652474797768704,1,1510005195671,7/11/2017 08:42:39
280,370,927655762624577536,927626999836819456,1,1510005343477,7/11/2017 07:01:25
1103,374,927652995264798720,927635554640031750,1,1510004683687,7/11/2017 07:35:25
1102,374,927653182083231744,927635554640031750,1,1510004728228,7/11/2017 07:35:25
1124,374,927657424869212160,927635554640031750,1,1510005739787,7/11/2017 07:35:25
370,376,927653872092377088,927653833844469760,1,1510004892739,7/11/2017 08:48:03
617,376,927655079917731841,927653833844469760,1,1510005180707,7/11/2017 08:48:03
1094,393,927652827635134464,926241169822175233,1,1510004643721,3/11/2017 11:14:38
79,393,927653440968200192,927652338743078912,1,1510004789951,7/11/2017 08:42:07
890,393,927657128931688449,927409477376032768,1,1510005669230,6/11/2017 16:37:04
86,425,927653189297541122,927652282023292928,1,1510004729948,7/11/2017 08:41:53
154,472,927657986272534528,927655970515304449,1,1510005873636,7/11/2017 08:56:33
1100,530,927653132548505600,927362511636008960,1,1510004716418,6/11/2017 13:30:26
1035,530,927654115844407296,927362511636008960,1,1510004950854,6/11/2017 13:30:26
712,541,927654844545908737,927432676113498112,1,1510005124590,6/11/2017 18:09:15
455,548,927656005277696000,927630707513585664,1,1510005401330,7/11/2017 07:16:09
280,787,927655230077939712,927622963310055424,1,1510005216508,7/11/2017 06:45:23
362,918,927654561791148032,927654275676749825,1,1510005057176,7/11/2017 08:49:48
1111,918,927654997554110464,927514317661937665,1,1510005161070,6/11/2017 23:33:40
174,918,927656802510028800,927514317661937665,1,1510005591405,6/11/2017 23:33:40
651,918,927657168181981184,927514317661937665,1,1510005678588,6/11/2017 23:33:40
1123,918,927657376676683776,927514317661937665,1,1510005728297,6/11/2017 23:33:40
79,989,927653636460527616,927613947095609345,1,1510004836560,7/11/2017 06:09:33
